row,id
1041,38998
1042,48084
1043,52128
1044,57041
1045,58493
1046,40412
1047,47650
1048,47676
1049,18167
1050,47656
1051,18168
1052,43646
1053,4936
1054,58503
1055,34578
1056,18169
1057,58439
1058,46277
1059,39217
1060,57047
1061,6868
1062,18754
1063,43509
1064,59965
1065,48525
1066,48486
1067,43634
1068,18897
1069,59978
1070,41141
1071,57994
1072,38835
1073,59985
1074,33970
1075,48466
1076,38844
1077,38997
1078,27223
1079,57986
1080,32577
1081,48475
1082,38830
1083,23051
1084,38828
1085,52124
1086,29167
1087,4983
1088,48476
1089,27224
1090,50698
1091,34064
1092,47655
1093,39227
1094,12837
1095,48468
1096,34588
1097,2697
1098,33997
1099,38836
1100,38838
1101,59986
1102,44687
1103,43677
1104,43508
1105,37198
1106,57040
1107,42209
1108,32582
1109,27226
1110,59973
1111,43632
1112,29166
1113,48480
1114,34591
1115,31124
1116,48478
1117,41784
1118,29158
1119,46271
1120,12830
1121,38837
1122,34599
1123,47675
1124,48483
1125,59970
1126,57995
1127,41798
1128,38842
1129,58001
1130,10406
1131,48086
1132,12849
1133,43678
1134,41786
1135,57046
1136,26934
1137,58489
1138,32378
1139,43302
1140,36750
1141,57052
1142,57043
1143,26355
1144,43511
1145,57057
1146,57050
1147,34167
1148,34598
1149,43672
1150,58425
1151,2711
1152,14197
1153,4934
1154,46281
1155,5566
1156,8483
1157,2710
1158,33226
1159,48085
1160,50720
1161,58492
1162,43514
1163,41996
1164,34113
1165,57056
1166,31167
1167,35989
1168,57042
1169,41774
1170,59966
1171,51448
1172,58501
1173,33199
1174,2704
1175,44944
1176,49647
1177,43653
1178,43680
1179,23621
1180,34570
1181,41565
1182,59811
1183,43659
1184,43645
1185,48485
1186,39724
1187,4987
1188,48472
1189,59984
1190,8486
1191,42217
1192,18895
1193,48469
1194,58002
1195,6893
1196,54973
1197,59897
1198,40405
1199,39232
1200,43637
1201,43652
1202,25908
1203,38846
1204,31129
1205,54972
1206,57044
1207,58003
1208,59896
1209,39234
1210,34592
1211,37266
1212,44682
1213,49646
1214,47661
1215,42216
1216,43633
1217,43515
1218,52130
1219,43681
1220,34566
1221,34095
1222,57058
1223,31127
1224,59974
1225,34473
1226,59975
1227,59996
1228,18735
1229,41140
1230,40430
1231,37929
1232,59990
1233,57049
1234,6870
1235,43625
1236,41571
1237,59972
1238,7306
1239,51465
1240,59969
1241,59795
1242,25503
1243,26927
1244,34015
1245,34586
1246,57999
1247,57048
1248,51457
1249,39235
1250,58172
1251,54388
1252,44278
1253,17129
1254,57846
1255,36505
1256,20420
1257,33393
1258,57261
1259,15660
1260,52622
1261,16761
1262,25261
1263,47351
1264,29741
1265,38444
1266,42933
1267,47391
1268,49559
1269,42936
1270,29729
1271,20399
1272,53914
1273,2661
1274,1598
1275,20830
1276,46972
1277,8240
1278,25150
1279,10202
1280,21934
1281,43571
1282,14812
1283,47889
1284,21484
1285,21522
1286,47361
1287,2673
1288,20487
1289,49546
1290,50237
1291,43334
1292,47139
1293,58267
1294,25171
1295,4604
1296,38422
1297,21524
1298,20393
1299,36995
1300,27061
1301,25276
1302,20459
1303,27038
1304,34885
1305,27743
1306,29738
1307,27737
1308,38446
1309,58277
1310,58184
1311,37418
1312,44244
1313,54829
1314,15296
1315,58928
1316,28442
1317,24789
1318,42860
1319,27690
1320,34559
1321,53679
1322,54017
1323,15436
1324,18793
1325,47138
1326,38462
1327,37070
1328,53941
1329,20611
1330,52660
1331,43292
1332,43570
1333,57236
1334,37955
1335,54392
1336,25286
1337,47338
1338,47292
1339,25720
1340,58269
1341,14798
1342,27668
1343,20613
1344,36038
1345,25207
1346,33415
1347,48187
1348,57230
1349,47418
1350,47377
1351,10198
1352,46987
1353,25272
1354,27742
1355,34871
1356,5851
1357,25242
1358,54033
1359,34762
1360,3385
1361,20385
1362,9485
1363,47814
1364,57231
1365,33430
1366,15439
1367,20967
1368,52623
1369,27683
1370,47294
1371,58271
1372,15651
1373,18033
1374,5505
1375,47378
1376,24625
1377,47298
1378,10223
1379,14896
1380,37079
1381,53651
1382,58173
1383,47410
1384,37856
1385,8234
1386,43333
1387,54491
1388,51918
1389,49067
1390,16760
1391,47142
1392,47434
1393,47724
1394,36676
1395,26426
1396,33734
1397,26220
1398,25258
1399,46980
1400,35916
1401,36536
1402,49551
1403,20387
1404,20512
1405,43291
1406,52659
1407,47398
1408,10229
1409,48329
1410,54812
1411,10216
1412,8519
1413,54834
1414,47295
1415,21543
1416,17131
1417,47399
1418,26430
1419,30183
1420,21976
1421,27672
1422,29743
1423,47289
1424,53943
1425,25162
1426,54040
1427,49567
1428,36674
1429,42859
1430,5854
1431,51934
1432,57241
1433,22003
1434,21945
1435,35176
1436,50431
1437,2672
1438,48175
1439,53997
1440,42858
1441,21521
1442,37409
1443,3387
1444,42834
1445,35909
1446,21975
1447,21526
1448,5874
1449,53684
1450,25208
1451,42837
1452,22011
1453,20398
1454,3404
1455,36036
1456,8520
1457,34731
1458,42854
1459,47689
1460,52766
1461,20963
1462,16765
1463,49063
1464,25296
1465,47886
1466,25218
1467,27748
1468,53921
1469,28448
1470,47341
1471,3384
1472,54512
1473,9003
1474,10230
1475,43277
1476,2663
1477,54409
1478,49518
1479,47794
1480,33432
1481,2365
1482,27678
1483,25288
1484,42839
1485,38755
1486,54007
1487,14788
1488,52754
1489,37435
1490,10220
1491,35918
1492,35910
1493,54386
1494,20602
1495,16759
1496,22001
1497,10217
1498,21552
1499,53897
1500,46308
1501,51556
1502,45174
1503,40549
1504,25651
1505,40517
1506,56674
1507,11135
1508,29918
1509,33929
1510,50406
1511,10109
1512,25338
1513,56682
1514,37295
1515,51644
1516,32374
1517,54659
1518,51638
1519,23289
1520,19762
1521,10705
1522,36798
1523,51570
1524,11484
1525,53586
1526,39028
1527,48028
1528,53609
1529,51660
1530,51635
1531,51566
1532,29919
1533,45146
1534,45872
1535,52670
1536,25661
1537,51510
1538,37298
1539,23521
1540,51562
1541,45011
1542,31844
1543,51657
1544,29411
